round,workload,size,mode,samples,median_ms,p95_ms
persisted-four-XS,count,XS,before,20,46.71020849999952,51.10783399999974
persisted-four-XS,count,XS,after_off,20,44.433792000001304,53.436666999999716
persisted-four-XS,count,XS,after_reuse,20,28.701875500000362,33.338624999998956
persisted-four-XS,group,XS,before,20,45.00214600000074,53.50695899999991
persisted-four-XS,group,XS,after_off,20,44.16585400000006,53.05174999999984
persisted-four-XS,group,XS,after_reuse,20,29.465624999999385,32.84783299999994
persisted-four-XS,sum_square,XS,before,20,68.92683349999996,75.65008300000109
persisted-four-XS,sum_square,XS,after_off,20,69.84916699999965,81.15141699999917
persisted-four-XS,sum_square,XS,after_reuse,20,52.85802049999955,57.19104199999947
persisted-four-XS,mixed_sequential,XS,before,60,48.8827090000008,72.08920799999952
persisted-four-XS,mixed_sequential,XS,after_off,60,47.87695800000069,74.72195799999959
persisted-four-XS,mixed_sequential,XS,after_reuse,60,30.49362500000008,56.06374999999986
persisted-four-XS,batch4,XS,before,20,76.90010399999814,164.16724999999843
persisted-four-XS,batch4,XS,after_off,20,78.30056249999906,112.16604099999827
persisted-four-XS,batch4,XS,after_reuse,20,66.32666700000023,71.4938339999982
persisted-four-XS-heavy,count,XS,before,20,45.769875500000445,50.93824999999974
persisted-four-XS-heavy,count,XS,after_off,20,45.143208499999865,52.5395830000015
persisted-four-XS-heavy,count,XS,after_reuse,20,29.043312500000695,36.14120800000009
persisted-four-XS-heavy,group,XS,before,20,46.27716649999947,56.06220800000017
persisted-four-XS-heavy,group,XS,after_off,20,45.887187499999094,53.14245900000003
persisted-four-XS-heavy,group,XS,after_reuse,20,29.689479500000893,32.8025839999988
persisted-four-XS-heavy,sum_square,XS,before,20,69.0292079999999,78.10329099999969
persisted-four-XS-heavy,sum_square,XS,after_off,20,69.29672950000042,74.61987499999978
persisted-four-XS-heavy,sum_square,XS,after_reuse,20,53.68962450000048,58.35687499999942
persisted-four-XS-heavy,mixed_sequential,XS,before,60,50.01839550000042,74.69912500000042
persisted-four-XS-heavy,mixed_sequential,XS,after_off,60,48.28831249999999,71.97066700000043
persisted-four-XS-heavy,mixed_sequential,XS,after_reuse,60,31.72995799999878,57.84575000000025
persisted-four-XS-heavy,batch4,XS,before,20,88.0433544999999,127.54929099999757
persisted-four-XS-heavy,batch4,XS,after_off,20,86.36518750000022,127.07950000000068
persisted-four-XS-heavy,batch4,XS,after_reuse,20,76.64281249999938,79.09554099999916
